Exercise,Set,Reps,Avg_One_Rep_Max,Suggested_Weight
Lunges,1,14,40,27
Lunges,1,19,40,24
Lunges,1,6,40,33
Lunges,1,15,40,27
Lunges,1,20,40,24
Lunges,1,7,40,32
Lunges,1,16,40,26
Lunges,1,9,40,31
Lunges,1,8,40,32
Lunges,1,11,40,29
Lunges,1,10,40,30
One-arm Dumbbell Arnold Press,1,3,38.166666666666664,35
One-arm Dumbbell Arnold Press,1,12,38.166666666666664,27
One-arm Dumbbell Arnold Press,1,17,38.166666666666664,24
One-arm Dumbbell Arnold Press,1,4,38.166666666666664,34
One-arm Dumbbell Arnold Press,1,13,38.166666666666664,27
One-arm Dumbbell Arnold Press,1,18,38.166666666666664,24
One-arm Dumbbell Arnold Press,1,5,38.166666666666664,33
One-arm Dumbbell Arnold Press,1,14,38.166666666666664,26
One-arm Dumbbell Arnold Press,1,19,38.166666666666664,23
One-arm Dumbbell Arnold Press,1,6,38.166666666666664,32
One-arm Dumbbell Arnold Press,1,15,38.166666666666664,25
One-arm Dumbbell Arnold Press,1,20,38.166666666666664,23
One-arm Dumbbell Arnold Press,1,7,38.166666666666664,31
One-arm Dumbbell Arnold Press,1,16,38.166666666666664,25
One-arm Dumbbell Arnold Press,1,9,38.166666666666664,29
One-arm Dumbbell Arnold Press,1,8,38.166666666666664,30
One-arm Dumbbell Arnold Press,1,11,38.166666666666664,28
One-arm Dumbbell Arnold Press,1,10,38.166666666666664,29
Overhead Triceps Extensions,1,3,55.96666666666667,51
Overhead Triceps Extensions,1,12,55.96666666666667,40
Overhead Triceps Extensions,1,17,55.96666666666667,36
Overhead Triceps Extensions,1,4,55.96666666666667,49
Overhead Triceps Extensions,1,13,55.96666666666667,39
Overhead Triceps Extensions,1,18,55.96666666666667,35
Overhead Triceps Extensions,1,5,55.96666666666667,48
Overhead Triceps Extensions,1,14,55.96666666666667,38
Overhead Triceps Extensions,1,19,55.96666666666667,34
Overhead Triceps Extensions,1,6,55.96666666666667,47
Overhead Triceps Extensions,1,15,55.96666666666667,37
Overhead Triceps Extensions,1,20,55.96666666666667,34
Overhead Triceps Extensions,1,7,55.96666666666667,45
Overhead Triceps Extensions,1,16,55.96666666666667,37
Overhead Triceps Extensions,1,9,55.96666666666667,43
Overhead Triceps Extensions,1,8,55.96666666666667,44
Overhead Triceps Extensions,1,11,55.96666666666667,41
Overhead Triceps Extensions,1,10,55.96666666666667,42
Squats,1,3,219.61111111111111,200
Squats,1,12,219.61111111111111,157
Squats,1,17,219.61111111111111,140
Squats,1,4,219.61111111111111,194
Squats,1,13,219.61111111111111,153
Squats,1,18,219.61111111111111,137
Squats,1,5,219.61111111111111,188
Squats,1,14,219.61111111111111,150
Squats,1,19,219.61111111111111,134
